,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Rower,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Czas rozpoczęcia,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Samochód,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia,ŹRÓDŁO Godzina rozpoczęcia
15,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,06:25:00,dom,53.0,praca,273.0,1,dom-praca,1,2.0,8142.0644731608645,25-44_K,0,0,1,0,0,6
16,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3,1,1,1,1,0,0.0,14:40:00,praca,273.0,dom,53.0,3,praca-dom,1,2.0,8142.0644731608645,25-44_K,1,0,0,0,0,14
17,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,05:05:00,dom,59.0,praca,126.0,1,dom-praca,1,0.0,2258.588783629474,25-44_M,0,0,1,0,0,5
18,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,2.0,3,0,1,0,1,0,0.0,18:15:00,praca,126.0,dom,59.0,3,praca-dom,1,0.0,2258.588783629474,25-44_M,1,0,0,0,0,18
19,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,07:45:00,dom,59.0,praca,1.0,1,dom-praca,3,0.0,2607.90713989527,25-44_K,0,0,1,0,0,7
20,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,2.0,3,1,1,0,1,0,0.0,16:30:00,praca,1.0,dom,59.0,3,praca-dom,3,0.0,2607.90713989527,25-44_K,1,0,0,0,0,16
21,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,06:00:00,dom,59.0,praca,59.0,1,dom-praca,2,1.0,0.0,45-60_K,0,0,1,0,0,6
22,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,18:30:00,praca,59.0,dom,59.0,3,praca-dom,2,1.0,0.0,45-60_K,1,0,0,0,0,18
23,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,08:00:00,dom,59.0,praca,61.0,1,dom-praca,2,1.0,413.26821756916115,45-60_K,0,0,1,0,0,8
24,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,7.0,7.0,5.0,4,1,1,0,1,0,1.0,14:30:00,praca,61.0,dom,59.0,3,praca-dom,2,1.0,413.26821756916115,45-60_K,1,0,0,0,0,14
25,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,08:30:00,dom,135.0,inne,265.0,1,dom-Inne,1,1.0,3999.8850862115223,61-x_K,0,1,0,0,0,8
26,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,1,0,0.5,15:00:00,Inne,265.0,dom,135.0,3,Inne-dom,0,1.0,3999.8850862115223,61-x_K,1,0,0,0,0,15
27,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,06:10:00,dom,135.0,praca,104.0,1,dom-praca,1,1.0,7280.369511848175,45-65_M,0,0,1,0,0,6
28,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,4,0,1,0,1,0,0.0,15:30:00,praca,104.0,dom,135.0,3,praca-dom,1,1.0,7280.369511848175,45-65_M,1,0,0,0,0,15
29,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,06:30:00,dom,135.0,praca,73.0,1,dom-praca,0,2.0,5416.555335693067,45-65_M,0,0,1,0,0,6
30,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,10:30:00,praca,73.0,dom,135.0,2,praca-dom,0,2.0,5416.555335693067,45-65_M,1,0,0,0,0,10
31,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,11:00:00,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,6852.581766815773,45-65_M,0,1,0,0,0,11
32,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,11:30:00,Inne,154.0,praca,73.0,2,Inne-praca,0,2.0,8950.315847625832,45-65_M,0,0,1,0,0,11
33,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,13:30:00,praca,73.0,inne,154.0,2,praca-Inne,0,2.0,8950.315847625832,45-65_M,0,1,0,0,0,13
34,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,14:00:00,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,6852.581766815773,45-65_M,1,0,0,0,0,14
35,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,14:30:00,dom,135.0,praca,73.0,3,dom-praca,0,2.0,5416.555335693067,45-65_M,0,0,1,0,0,14
36,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,1,1,0,0.0,17:00:00,praca,73.0,dom,135.0,3,praca-dom,0,2.0,5416.555335693067,45-65_M,1,0,0,0,0,17
37,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,11:00:00,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,6852.581766815773,66-x_M,0,1,0,0,0,11
38,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,0,0,0,1,0,1.0,14:00:00,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,6852.581766815773,66-x_M,1,0,0,0,0,14
39,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,11:00:00,dom,135.0,inne,154.0,2,dom-Inne,0,2.0,6852.581766815773,61-x_K,0,1,0,0,0,11
40,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,5,1,0,0,0,0,1.0,14:00:00,Inne,154.0,dom,135.0,3,Inne-dom,0,2.0,6852.581766815773,61-x_K,1,0,0,0,0,14
41,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,11:00:00,dom,135.0,inne,135.0,2,dom-Inne,2,0.0,0.0,61-x_K,0,1,0,0,0,11
42,3,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,1,0,0,0,1.0,11:30:00,Inne,135.0,dom,135.0,2,Inne-dom,2,0.0,0.0,61-x_K,1,0,0,0,0,11
43,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,0,0,0,0,1.0,13:00:00,dom,135.0,inne,18.0,2,dom-Inne,1,0.0,4021.161857111625,61-x_K,0,1,0,0,0,13
44,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,1,0,0,0,0,1.0,14:30:00,Inne,18.0,dom,135.0,3,Inne-dom,1,0.0,4021.161857111625,61-x_K,1,0,0,0,0,14
46,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,5,0,1,0,1,0,1.0,20:05:00,Inne,67.0,dom,135.0,4,Inne-dom,1,0.0,2559.552275452079,66-x_M,1,0,0,0,0,20
47,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,3.0,4,0,1,0,1,0,1.0,10:00:00,dom,135.0,inne,3.0,2,dom-Inne,3,1.0,4008.6918055485944,45-65_M,0,1,0,0,0,10
48,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,3.0,4,0,1,0,1,0,1.0,11:15:00,Inne,3.0,dom,135.0,2,Inne-dom,3,1.0,4008.6918055485944,45-65_M,1,0,0,0,0,11
49,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,0,1,0,0,0,1.0,04:20:00,dom,135.0,praca,136.0,0,dom-praca,2,0.0,806.168311811087,20-24_M,0,0,1,0,0,4
50,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,0,1,0,0,0,1.0,14:10:00,praca,136.0,dom,135.0,3,praca-dom,1,0.0,806.168311811087,20-24_M,1,0,0,0,0,14
51,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,0.0,3,0,1,1,1,1,0.0,06:00:00,dom,135.0,praca,364.0,1,dom-praca,1,0.0,3284.456055680221,25-44_M,0,0,1,0,0,6
52,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,0.0,3,0,1,1,1,1,0.0,16:10:00,praca,364.0,dom,135.0,3,praca-dom,1,0.0,3284.456055680221,25-44_M,1,0,0,0,0,16
53,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,09:30:00,dom,135.0,inne,134.0,1,dom-Inne,2,0.0,483.6032596556176,25-44_K,0,1,0,0,0,9
54,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,10:00:00,Inne,134.0,inne,135.0,2,Inne-Inne,2,0.0,483.6032596556176,25-44_K,0,1,0,0,0,10
55,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0.0,3,1,1,1,1,1,0.0,10:20:00,Inne,135.0,dom,135.0,2,Inne-dom,2,0.0,0.0,25-44_K,1,0,0,0,0,10
56,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.0,2.0,4,1,1,0,0,1,0.0,06:15:00,dom,33.0,praca,29.0,1,dom-praca,1,0.0,1865.7802567836936,45-60_K,0,0,1,0,0,6
57,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.0,2.0,4,1,1,0,0,1,0.0,19:15:00,praca,29.0,dom,33.0,4,praca-dom,1,0.0,1865.7802567836936,45-60_K,1,0,0,0,0,19
58,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,2.0,4,0,0,0,1,1,0.0,06:10:00,dom,33.0,praca,46.0,1,dom-praca,1,0.0,3839.8286977043263,45-65_M,0,0,1,0,0,6
59,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,2.0,4,0,0,0,1,1,0.0,15:20:00,praca,46.0,dom,33.0,3,praca-dom,1,0.0,3839.8286977043263,45-65_M,1,0,0,0,0,15
60,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,18:00:00,dom,33.0,inne,1.0,3,dom-Inne,3,0.0,2593.928183789879,25-44_M,0,1,0,0,0,18
61,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,20:20:00,Inne,1.0,dom,33.0,4,Inne-dom,3,0.0,2593.928183789879,25-44_M,1,0,0,0,0,20
62,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,11:30:00,dom,33.0,inne,4.0,2,dom-Inne,0,0.0,2340.9735858337676,25-44_M,0,1,0,0,0,11
63,2,3,4,0,0,0,0,1,0,0,0,1,0,0,0,5.0,5.0,2.0,3,0,1,0,1,1,0.5,13:00:00,Inne,4.0,dom,33.0,2,Inne-dom,1,0.0,2340.9735858337676,25-44_M,1,0,0,0,0,13
67,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,3.0,4,1,0,0,0,0,0.0,11:30:00,dom,33.0,inne,4.0,2,dom-Inne,0,0.0,2340.9735858337676,45-60_K,0,1,0,0,0,11
68,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,3.0,4,1,0,0,0,0,0.0,13:00:00,Inne,4.0,dom,33.0,2,Inne-dom,1,0.0,2340.9735858337676,45-60_K,1,0,0,0,0,13
69,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,3.0,2,1,0,0,0,0,0.5,17:00:00,dom,33.0,inne,63.0,3,dom-Inne,3,0.0,4288.785116185605,20-24_K,0,1,0,0,0,17
70,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,3.0,2,1,0,0,0,0,0.5,18:15:00,Inne,63.0,dom,33.0,3,Inne-dom,3,0.0,4288.785116185605,20-24_K,1,0,0,0,0,18
71,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,3,1,1,0,1,0,0.0,09:00:00,dom,33.0,praca,96.0,1,dom-praca,3,1.0,1917.91546354198,25-44_K,0,0,1,0,0,9
72,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,3,1,1,0,1,0,0.0,14:00:00,praca,96.0,dom,33.0,3,praca-dom,3,1.0,1917.91546354198,25-44_K,1,0,0,0,0,14
73,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2.0,2.0,4.0,3,0,1,0,1,0,0.0,08:00:00,dom,33.0,praca,107.0,1,dom-praca,3,1.0,2615.379661313897,25-44_M,0,0,1,0,0,8
74,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2.0,2.0,4.0,3,0,1,0,1,0,0.0,15:00:00,praca,107.0,dom,33.0,3,praca-dom,3,1.0,2615.379661313897,25-44_M,1,0,0,0,0,15
75,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,0,1,0,0.0,05:30:00,dom,38.0,praca,65.0,1,dom-praca,0,2.0,3207.2716171216816,45-65_M,0,0,1,0,0,5
76,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,4,0,1,0,1,0,0.0,16:00:00,praca,65.0,dom,38.0,3,praca-dom,0,2.0,3207.2716171216816,45-65_M,1,0,0,0,0,16
77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,1,0,0.0,06:30:00,dom,38.0,praca,364.0,1,dom-praca,0,2.0,2979.477498521281,25-44_K,0,0,1,0,0,6
78,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,1,0,0.0,15:00:00,praca,364.0,dom,38.0,3,praca-dom,0,2.0,2979.477498521281,25-44_K,1,0,0,0,0,15
79,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,1.0,1,0,1,0,0,1,0.5,17:00:00,dom,38.0,inne,35.0,3,dom-Inne,2,2.0,564.5368209391265,16-19_M,0,1,0,0,0,17
80,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3.0,3.0,1.0,1,0,1,0,0,1,0.5,17:30:00,Inne,35.0,dom,38.0,3,Inne-dom,2,2.0,564.5368209391265,16-19_M,1,0,0,0,0,17
81,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,3.0,4,1,1,0,0,0,0.0,07:30:00,dom,38.0,praca,37.0,1,dom-praca,2,0.0,784.9597032868548,45-60_K,0,0,1,0,0,7
82,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,3.0,4,1,1,0,0,0,0.0,21:30:00,praca,37.0,dom,38.0,4,praca-dom,2,0.0,784.9597032868548,45-60_K,1,0,0,0,0,21
83,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4,0,1,0,1,1,0.5,06:30:00,dom,38.0,inne,38.0,1,dom-Inne,2,0.0,0.0,45-65_M,0,1,0,0,0,6
84,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4,0,1,0,1,1,0.5,07:00:00,Inne,38.0,dom,38.0,1,Inne-dom,2,0.0,0.0,45-65_M,1,0,0,0,0,7
86,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,4.0,2,0,1,0,1,1,0.5,13:00:00,dom,62.0,uczelnia,30.0,2,dom-uczelnia,1,1.0,3572.3508029314366,20-24_M,0,0,0,0,1,13
87,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,4.0,2,0,1,0,1,1,0.5,20:00:00,uczelnia,30.0,dom,62.0,4,uczelnia-dom,1,1.0,3572.3508029314366,20-24_M,1,0,0,0,0,20
88,1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,4.0,1,1,1,0,0,0,0.5,07:40:00,dom,62.0,szkoła,58.0,1,dom-szkoła,2,1.0,718.6747916430553,16-19_K,0,0,0,1,0,7
89,1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,4.0,1,1,1,0,0,0,0.5,15:00:00,szkoła,58.0,dom,62.0,3,szkoła-dom,2,1.0,718.6747916430553,16-19_K,1,0,0,0,0,15
90,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,1.0,3,0,1,0,1,0,0.0,07:00:00,dom,61.0,praca,57.0,1,dom-praca,3,0.0,1047.362409133385,25-44_M,0,0,1,0,0,7
91,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.0,1.0,3,0,1,0,1,0,0.0,19:00:00,praca,57.0,dom,61.0,4,praca-dom,3,0.0,1047.362409133385,25-44_M,1,0,0,0,0,19
92,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,1,1,0,0.0,08:00:00,dom,61.0,praca,135.0,1,dom-praca,2,0.0,1020.9114295174461,25-44_K,0,0,1,0,0,8
93,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,1,1,0,0.0,16:00:00,praca,135.0,dom,61.0,3,praca-dom,2,0.0,1020.9114295174461,25-44_K,1,0,0,0,0,16
94,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,0,0,0.5,07:30:00,dom,61.0,szkoła,331.0,1,dom-szkoła,0,0.0,2021.2901533761,25-44_K,0,0,0,1,0,7
95,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,3,1,1,0,0,0,0.5,13:25:00,szkoła,331.0,dom,61.0,2,szkoła-dom,0,0.0,2021.2901533761,25-44_K,1,0,0,0,0,13
96,2,2,2,0,0,1,0,0,0,0,0,1,1,0,0,1.0,1.0,0.0,3,1,1,0,0,0,0.0,08:15:00,dom,61.0,praca,139.0,1,dom-praca,2,0.0,1240.3943465233485,25-44_K,0,0,1,0,0,8
97,2,2,2,0,0,1,0,0,0,0,0,1,1,0,0,1.0,1.0,0.0,3,1,1,0,0,0,0.0,18:30:00,praca,139.0,dom,61.0,3,praca-dom,2,0.0,1240.3943465233485,25-44_K,1,0,0,0,0,18
98,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,1,1,0,0.0,07:30:00,dom,62.0,praca,20.0,1,dom-praca,0,3.0,1973.0565793213623,45-65_M,0,0,1,0,0,7
99,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,4,0,1,1,1,0,0.0,16:00:00,praca,20.0,dom,62.0,3,praca-dom,0,3.0,1973.0565793213623,45-65_M,1,0,0,0,0,16
100,3,3,4,0,0,0,0,1,0,0,0,1,0,0,0,4.0,4.0,1.0,4,1,1,1,1,0,0.0,07:00:00,dom,62.0,praca,133.0,1,dom-praca,3,3.0,1667.8455459799263,45-60_K,0,0,1,0,0,7
101,3,3,4,0,0,0,0,1,0,0,0,1,0,0,0,4.0,4.0,1.0,4,1,1,1,1,0,0.0,17:00:00,praca,133.0,dom,62.0,3,praca-dom,3,3.0,1667.8455459799263,45-60_K,1,0,0,0,0,17
102,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,06:45:00,dom,62.0,szkoła,35.0,1,dom-szkoła,0,3.0,3953.904379606062,6-15_K,0,0,0,1,0,6
103,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.0,1.0,0,1,1,0,0,1,0.5,14:10:00,szkoła,35.0,dom,62.0,3,szkoła-dom,0,3.0,3953.904379606062,6-15_K,1,0,0,0,0,14
104,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,12:00:00,dom,61.0,inne,61.0,2,dom-Inne,2,1.0,0.0,25-44_M,0,1,0,0,0,12
105,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,3,0,1,0,1,0,0.0,13:30:00,Inne,61.0,dom,61.0,2,Inne-dom,2,1.0,0.0,25-44_M,1,0,0,0,0,13
106,4,4,2,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,0.0,3,1,1,0,0,0,0.0,10:00:00,dom,61.0,inne,144.0,2,dom-Inne,0,1.0,2371.460152445642,25-44_K,0,1,0,0,0,10
107,4,4,2,0,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,0.0,3,1,1,0,0,0,0.0,13:00:00,Inne,144.0,dom,61.0,2,Inne-dom,0,1.0,2371.460152445642,25-44_K,1,0,0,0,0,13
108,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,4.0,1,0,1,0,1,1,0.5,07:50:00,dom,48.0,szkoła,47.0,1,dom-szkoła,2,1.0,355.8536333328569,16-19_M,0,0,0,1,0,7
109,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,3.0,3.0,4.0,1,0,1,0,1,1,0.5,15:00:00,szkoła,47.0,dom,48.0,3,szkoła-dom,2,1.0,355.8536333328569,16-19_M,1,0,0,0,0,15
112,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,4.0,4.0,4.0,3,0,1,1,1,1,0.0,08:00:00,dom,48.0,praca,126.0,1,dom-praca,1,1.0,2586.638588198821,25-44_M,0,0,1,0,0,8
