,0
32,Jak często korzystasz ze wskazanych środków transportu?_Pieszo
33,Jak często korzystasz ze wskazanych środków transportu?_Rower prywatny
34,Jak często korzystasz ze wskazanych środków transportu?_Rower miejski
35,"Jak często korzystasz ze wskazanych środków transportu?_Motocykl, skuter lub motorower"
36,Jak często korzystasz ze wskazanych środków transportu?_Hulajnoga elektryczna
37,Jak często korzystasz ze wskazanych środków transportu?_Samochód osobowy jako pasażer
38,Jak często korzystasz ze wskazanych środków transportu?_Samochód osobowy jako kierowca
39,Jak często korzystasz ze wskazanych środków transportu?_Tramwaj
40,Jak często korzystasz ze wskazanych środków transportu?_Komunikacja autobusowa
41,Jak często korzystasz ze wskazanych środków transportu?_Komunikacja zbiorowa poza Wrocławiem
42,Jak często korzystasz ze wskazanych środków transportu?_Pociąg
43,Jak często korzystasz ze wskazanych środków transportu?_Wypożyczalnia pojazdów osobowych
44,Jak często korzystasz ze wskazanych środków transportu?_Carpooling
45,Jak często korzystasz ze wskazanych środków transportu?_Inne
46,Jak często korzystasz ze wskazanych środków transportu?_Taksówka
47,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Pieszo
48,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Rower prywatny
49,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Rower miejski
50,"Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Motocykl, skuter lub motorower"
51,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Hulajnoga elektryczna
52,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Samochód osobowy jako pasażer
53,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Samochód osobowy jako kierowca
54,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Tramwaj
55,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Komunikacja autobusowa
56,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Komunikacja zbiorowa poza Wrocławiem
57,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Pociąg
58,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Wypożyczalnia pojazdów osobowych
59,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Carpooling
60,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Inne
61,Jak oceniasz wskazane środki transportu pod kątem poczucia bezpieczeństwa?_Taksówka
62,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Pieszo"
63,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Rower prywatny"
64,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Rower miejski"
65,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Motocykl, skuter lub motorower"
66,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Hulajnoga elektryczna"
67,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Samochód osobowy jako pasażer"
68,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Samochód osobowy jako kierowca"
69,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Tramwaj"
70,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Komunikacja autobusowa"
71,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Komunikacja zbiorowa poza Wrocławiem"
72,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Pociąg"
73,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Wypożyczalnia pojazdów osobowych"
74,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Carpooling"
75,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Inne"
76,"Jak oceniasz wskazane środki pod kątem średnich kosztów, które ponosisz ze względu na korzystanie z nich?_Taksówka"
77,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Niekorzystne ustawienie sygnalizacji świetlnej
78,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką
79,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Zły stan nawierzchni chodników
80,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Zastawianie chodników przez parkujące samochody
81,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Niebezpieczne zachowania kierowców
82,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Zagrożenie ze strony rowerzystów poruszających się chodnikami
83,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Zbyt wysokie krawężniki
84,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Brak bieżącego utrzymania czystości/odśnieżania
85,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Niewystarczająca liczba przejść dla pieszych
86,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)"
87,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Uciążliwy ruch kołowy
88,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Niewłaściwe oświetlenie ciągów pieszych
89,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Inne
90,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pieszo: Nie odczuwam uciążliwości w podróżach pieszych we Wrocławiu
91,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Niekorzystne ustawienia sygnalizacji świetlnej
92,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Brak ciągłości dróg rowerowych
93,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Konieczność poruszania się po jezdni
94,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Niebezpieczne zachowania kierowców samochodów
95,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Zły stan nawierzchni
96,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Niewystarczająca liczba stojaków rowerowych
97,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Inne
98,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower prywatny: Nie odczuwam uciążliwości w podróżach rowerowych po Wrocławiu
99,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: niekorzystne ustawienia sygnalizacji świetlnej
100,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: brak ciągłości dróg rowerowych
101,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: konieczność poruszania się po jezdni
102,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: niebezpieczne zachowania kierowców samochodów
103,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: duża odległość do najbliższej stacji roweru
104,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: zbyt wysokie koszty
105,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: Inne
106,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Rower miejski: Nie odczuwam uciążliwości w podróżach rowerowych po Wrocławiu
107,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Brak poczucia bezpieczeństwa"
108,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Ograniczenia dostępności pojazdów z wypożyczalni"
109,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Zbyt wysokie koszty usług wypożyczalni"
110,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Brak bezpiecznego miejsca do zaparkowania pojazdu"
111,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Inne"
112,"Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Motocykl, skuter lub motorower: Nie odczuwam uciążliwości w podróżach motorem / skuterem / motorowerem po Wrocławiu"
113,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Hulajnoga elektryczna: brak poczucia bezpieczeństwa/obawa przed kolizją
114,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Hulajnoga elektryczna: brak uregulowań dotyczących zasad poruszania się po mieście
115,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Hulajnoga elektryczna: zbyt wysokie koszty usług wypożyczalni
116,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Hulajnoga elektryczna: Inne
117,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Hulajnoga elektryczna: Nie odczuwam uciążliwości w podróżach hulajnogą elektryczną po Wrocławiu
118,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako pasażer: Konieczność oczekiwania na auto z kierowcą
119,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako pasażer: Zbyt duże natężenie ruchu
120,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako pasażer: Inne
121,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako pasażer: Nie odczuwam uciążliwości w podróżach samochodem po Wrocławiu
122,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Zbyt duże natężenie ruchu/ korki
123,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Brak dostępności parkingu pod domem
124,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Brak dostępności parkingu w miejscu docelowym
125,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Zbyt wysokie koszty utrzymania i parkowania pojazdu
126,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Obawa przed kolizją z innymi uczestnikami ruchu
127,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Zły stan nawierzchni dróg
128,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Niekorzystne ustawienia sygnalizacji świetlnej
129,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Inne
130,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Samochód osobowy jako kierowca: Nie odczuwam uciążliwości w podróżach samochodem po Wrocławiu
131,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Duża odległość do najbliższego przystanku
132,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Niepunktualność kursów
133,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Duże zapełnienie pojazdów w godzinach dojazdu do pracy/szkoły
134,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Brak bezpośredniego połączenia do miejsca docelowego
135,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Niska częstotliwość kursowania
136,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Zbyt wysokie koszty przejazdów
137,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Inne
138,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Tramwaj: Nie odczuwam uciążliwości w podróżach tramwajem lub autobusem po Wrocławiu
139,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Duża odległość do najbliższego przystanku
140,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Niepunktualność kursów
141,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Duże zapełnienie pojazdów w godzinach dojazdu do pracy/szkoły
142,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Brak bezpośredniego połączenia do miejsca docelowego
143,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Niska częstotliwość kursowania
144,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Zbyt wysokie koszty przejazdów
145,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Inne
146,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja autobusowa: Nie odczuwam uciążliwości w podróżach tramwajem lub autobusem po Wrocławiu
147,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Duża odległość do najbliższego przystanku
148,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Niepunktualność kursów
149,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Duże zapełnienie pojazdów w godzinach dojazdu do pracy/szkoły
150,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Brak bezpośredniego połączenia do miejsca docelowego
151,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Niska częstotliwość kursowania
152,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Zbyt wysokie koszty przejazdów
153,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Inne
154,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Komunikacja zbiorowa poza Wrocławiem: Nie odczuwam uciążliwości w podróżach tramwajem lub autobusem po Wrocławiu
155,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Duża odległość od domu do stacji
156,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Duża odległość od stacji do miejsca docelowego
157,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Niepunktualność pociągów
158,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Częstotliwość kursowania pociągów
159,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Duże zapełnienie pociągów
160,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Zbyt wysokie koszty przejazdów
161,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Inne
162,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Pociąg: Nie odczuwam uciążliwości w podróżach pociągiem po Wrocławiu
163,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Wypożyczalnia pojazdów osobowych: Zbyt wysokie koszty usługi
164,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Wypożyczalnia pojazdów osobowych: Dostępność pojazdów
165,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Wypożyczalnia pojazdów osobowych: Inne
166,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Wypożyczalnia pojazdów osobowych: Nie odczuwam uciążliwości w podróżach wypożyczonym autem po Wrocławiu
167,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Carpooling: Częste zmiany liczby uczestników podróży
168,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Carpooling: Możliwość zorganizowania kursu tylko w jedną stronę
169,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Carpooling: Kłopotliwy podział kosztów podróży
170,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Carpooling: Inne
171,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Carpooling: Nie odczuwam uciążliwości we wspólnych podróżach autem po Wrocławiu
172,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Inne: Boję się tego środka transportu
173,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Inne: Nie mam dostępu do tego środka transportu
174,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Inne: Środek transportu jest drogi
175,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Taksówka: Boję się tego środka transportu
176,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Taksówka: Nie mam dostępu do tego środka transportu
177,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Taksówka: Środek transportu jest drogi
178,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Taksówka: Inne
179,Jakie elementy stanowią dla Ciebie największą uciążliwość w codziennych podróżach danym środkiem transportu?_Taksówka: Nie odczuwam uciążliwości w podróżach taksówką po Wrocławiu
180,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Samochód osobowy służbowy
181,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Inne
182,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Żadne z wymienionych
183,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Samochód osobowy prywatny
184,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Rower prywatny
185,Jakie środki transportu posiadasz na własność (jako właściciel lub współwłaściciel)?_Hulajnoga elektryczna
186,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Samochód osobowy służbowy
187,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Inne
188,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Żadne z wymienionych
189,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Samochód osobowy prywatny
190,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Rower prywatny
191,Czy z wymienionych przez Ciebie środków transportu korzystają również pozostali domownicy?_Hulajnoga elektryczna
192,"Czy Twój obecny stan zdrowia ma negatywny wpływ na sposób, w jaki poruszasz się po mieście?_Unnamed: 192_level_1"
193,Jaki jest rodzaj Twoich ograniczeń związanych z poruszaniem się po mieście?_Unnamed: 193_level_1
194,"Czy aktualnie pod Twoją stałą opieką znajduje się dziecko, osoba starsza lub niepełnosprawna?_Unnamed: 194_level_1"
195,Czy zdarza Ci się przemieszczać po mieście razem ze zwierzętami domowymi?_Unnamed: 195_level_1
196,Czy posiadasz prawo jazdy kategorii A?_Unnamed: 196_level_1
197,Czy posiadasz prawo jazdy kategorii B?_Unnamed: 197_level_1
198,Numer regionu zamieszkania_Unnamed: 198_level_1
199,ID podróży (1)_Unnamed: 199_level_1
200,Data rozpoczecia podróży (1)_Unnamed: 200_level_1
201,Czas trwania podróży [s] (1)_Unnamed: 201_level_1
202,Środek transportu (1)_Unnamed: 202_level_1
203,Typ miejsca startu (1)_Unnamed: 203_level_1
204,Typ miejsca zakończenia (1)_Unnamed: 204_level_1
205,Miejsce startu (1)_Unnamed: 205_level_1
206,Numer regionu miejsca startu (1)_Unnamed: 206_level_1
207,Numer regionu miejsca zakończenia (1)_Unnamed: 207_level_1
208,Miejsce zakończenia (1)_Unnamed: 208_level_1
209,ID podróży (2)_Unnamed: 209_level_1
210,Data rozpoczecia podróży (2)_Unnamed: 210_level_1
211,Czas trwania podróży [s] (2)_Unnamed: 211_level_1
212,Środek transportu (2)_Unnamed: 212_level_1
213,Typ miejsca startu (2)_Unnamed: 213_level_1
214,Typ miejsca zakończenia (2)_Unnamed: 214_level_1
215,Miejsce startu (2)_Unnamed: 215_level_1
216,Numer regionu miejsca startu (2)_Unnamed: 216_level_1
217,Numer regionu miejsca zakończenia (2)_Unnamed: 217_level_1
218,Miejsce zakończenia (2)_Unnamed: 218_level_1
219,ID podróży (3)_Unnamed: 219_level_1
220,Data rozpoczecia podróży (3)_Unnamed: 220_level_1
221,Czas trwania podróży [s] (3)_Unnamed: 221_level_1
222,Środek transportu (3)_Unnamed: 222_level_1
223,Typ miejsca startu (3)_Unnamed: 223_level_1
224,Typ miejsca zakończenia (3)_Unnamed: 224_level_1
225,Miejsce startu (3)_Unnamed: 225_level_1
226,Numer regionu miejsca startu (3)_Unnamed: 226_level_1
227,Numer regionu miejsca zakończenia (3)_Unnamed: 227_level_1
228,Miejsce zakończenia (3)_Unnamed: 228_level_1
229,ID podróży (4)_Unnamed: 229_level_1
230,Data rozpoczecia podróży (4)_Unnamed: 230_level_1
231,Czas trwania podróży [s] (4)_Unnamed: 231_level_1
232,Środek transportu (4)_Unnamed: 232_level_1
233,Typ miejsca startu (4)_Unnamed: 233_level_1
234,Typ miejsca zakończenia (4)_Unnamed: 234_level_1
235,Miejsce startu (4)_Unnamed: 235_level_1
236,Numer regionu miejsca startu (4)_Unnamed: 236_level_1
237,Numer regionu miejsca zakończenia (4)_Unnamed: 237_level_1
238,Miejsce zakończenia (4)_Unnamed: 238_level_1
239,ID podróży (5)_Unnamed: 239_level_1
240,Data rozpoczecia podróży (5)_Unnamed: 240_level_1
241,Czas trwania podróży [s] (5)_Unnamed: 241_level_1
242,Środek transportu (5)_Unnamed: 242_level_1
243,Typ miejsca startu (5)_Unnamed: 243_level_1
244,Typ miejsca zakończenia (5)_Unnamed: 244_level_1
245,Miejsce startu (5)_Unnamed: 245_level_1
