,0
207,PRZEMIESZCZENIE 5_Przyczyna dla [P] Przemieszczenie piesze.1
208,PRZEMIESZCZENIE 5_Przyczyna dla [P] Przemieszczenie piesze [Inne].1
209,PRZEMIESZCZENIE 5_Przyczyna dla [R] Przemieszczenie rowerem.1
210,PRZEMIESZCZENIE 5_Przyczyna dla [R] Przemieszczenie rowerem [Inne].1
211,"PRZEMIESZCZENIE 5_Przyczyna dla [SOK, SOP, M] Samochód, motor .1"
212,"PRZEMIESZCZENIE 5_Przyczyna dla [SOK, SOP, M] Samochód, motor  [Inne].1"
213,"PRZEMIESZCZENIE 5_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa .1"
214,"PRZEMIESZCZENIE 5_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa  [Inne].1"
215,PRZEMIESZCZENIE 5_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych  .1
216,PRZEMIESZCZENIE 5_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych   [Inne].1
217,PRZEMIESZCZENIE 5_Przyczyna dla [C]: Carpooling.1
218,PRZEMIESZCZENIE 5_Przyczyna dla [C]: Carpooling [Inne].1
219,PRZEMIESZCZENIE 5_Godzina zakończenia jazdy/dojścia (gg:mm:ss)
220,PRZEMIESZCZENIE 6_Dodać następną jazdę/dojście?
221,PRZEMIESZCZENIE 6_Godzina rozpoczęcia jazdy/dojścia (gg:mm:ss)
222,PRZEMIESZCZENIE 6_Wykorzystany środek transportu w ramach wykonywanej podróży
223,PRZEMIESZCZENIE 6_Wykorzystany środek transportu w ramach wykonywanej podróży [Inne]
224,PRZEMIESZCZENIE 6_Liczba osób
225,PRZEMIESZCZENIE 6_Numer linii autobusowej (dotyczy komunikacji zbiorowej we Wrocławiu)
226,PRZEMIESZCZENIE 6_Przyczyna dla [P] Przemieszczenie piesze
227,PRZEMIESZCZENIE 6_Przyczyna dla [P] Przemieszczenie piesze [Inne]
228,PRZEMIESZCZENIE 6_Przyczyna dla [R] Przemieszczenie rowerem
229,PRZEMIESZCZENIE 6_Przyczyna dla [R] Przemieszczenie rowerem [Inne]
230,"PRZEMIESZCZENIE 6_Przyczyna dla [SOK, SOP, M] Samochód, motor "
231,"PRZEMIESZCZENIE 6_Przyczyna dla [SOK, SOP, M] Samochód, motor  [Inne]"
232,"PRZEMIESZCZENIE 6_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa "
233,"PRZEMIESZCZENIE 6_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa  [Inne]"
234,PRZEMIESZCZENIE 6_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych  
235,PRZEMIESZCZENIE 6_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych   [Inne]
236,PRZEMIESZCZENIE 6_Przyczyna dla [C]: Carpooling
237,PRZEMIESZCZENIE 6_Przyczyna dla [C]: Carpooling [Inne]
238,PRZEMIESZCZENIE 6_Przyczyna dla [P] Przemieszczenie piesze.1
239,PRZEMIESZCZENIE 6_Przyczyna dla [P] Przemieszczenie piesze [Inne].1
240,PRZEMIESZCZENIE 6_Przyczyna dla [R] Przemieszczenie rowerem.1
241,PRZEMIESZCZENIE 6_Przyczyna dla [R] Przemieszczenie rowerem [Inne].1
242,"PRZEMIESZCZENIE 6_Przyczyna dla [SOK, SOP, M] Samochód, motor .1"
243,"PRZEMIESZCZENIE 6_Przyczyna dla [SOK, SOP, M] Samochód, motor  [Inne].1"
244,"PRZEMIESZCZENIE 6_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa .1"
245,"PRZEMIESZCZENIE 6_Przyczyna dla [KW, KZ , T,  PO] Komunikacja zbiorowa  [Inne].1"
246,PRZEMIESZCZENIE 6_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych  .1
247,PRZEMIESZCZENIE 6_Przyczyna dla [E]: Wypożyczalnia pojazdów elektrycznych   [Inne].1
248,PRZEMIESZCZENIE 6_Przyczyna dla [C]: Carpooling.1
249,PRZEMIESZCZENIE 6_Przyczyna dla [C]: Carpooling [Inne].1
250,PRZEMIESZCZENIE 6_Godzina zakończenia jazdy/dojścia (gg:mm:ss)
251,DANE DO STATYSTYK_Liczba przemieszczeń
252,DANE DO STATYSTYK_środek transportu
253,DANE DO STATYSTYK_typ podróży
254,DANE DO STATYSTYK_czas trwania podróży
255,23:59:00_środek transportu podgrupa
256,23:59:00_środek transportu grupa
257,23:59:00_pora dnia
258,23:59:00_motywacje
259,23:59:00_motywacje grupy
260,23:59:00_ŚT_pom
261,Przemieszczenie 1_rodzaj autobusu
262,Przemieszczenie 2_rodzaj autobusu
263,Przemieszczenie 3_rodzaj autobusu
264,Przemieszczenie 4_rodzaj autobusu
265,Przemieszczenie 5_rodzaj autobusu
266,Przemieszczenie 5_liczba przesiadek
267,"Przemieszczenie 5_przemieszczenie 1
piesze [1]/niepiesze[0]"
268,"Przemieszczenie 5_przemieszczenie 2
piesze [1]/niepiesze[0]"
269,"Przemieszczenie 5_przemieszczenie 3
piesze [1]/niepiesze[0]"
270,"Przemieszczenie 5_przemieszczenie 4
piesze [1]/niepiesze[0]"
271,"Przemieszczenie 5_przemieszczenie 5
piesze [1]/niepiesze[0]"
272,"Przemieszczenie 5_przemieszczenie 6
piesze [1]/niepiesze[0]"
273,Przemieszczenie 5_liczba przesiadek.1
274,"Przemieszczenie 5_przemieszczenie 1
Komunikacja zbiorowa [KZ]"
275,"Przemieszczenie 5_przemieszczenie 2
Komunikacja zbiorowa [KZ]"
276,"Przemieszczenie 5_przemieszczenie 3
Komunikacja zbiorowa [KZ]"
